Player Passing 2024-2025 Big 5 European Leagues (per 90),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Total,,,,,Short,,,Medium,,,Long,,,,,Expected,,,,,,,
2493,Filip Stankovic,rs SRB,GK,Venezia,it Serie A,22,2002,15.2,24.5,33.8,72.5,618.8,437.4,4.34,4.34,100,13.8,14.3,96.8,6.32,15.1,41.9,0,0,0,0,0,0.13,0,0,0,Matches
2494,Jay Stansfield,eng ENG,MF,Fulham,eng Premier League,21,2002,0,0,0,,0,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,Matches
2495,Carl Starfelt,se SWE,DF,Celta Vigo,es La Liga,29,1995,25.2,61.1,65.2,93.7,1102.3,386.6,22,23,95.9,35.5,37.2,95.5,3.17,4.17,76.2,0,0.01,0.01,-0.01,0.24,2.22,0.04,0,2.62,Matches
2496,Niklas Stark,de GER,DF,Werder Bremen,de Bundesliga,29,1995,23.4,46.9,54.8,85.6,908.6,331.3,15.2,17.2,88.3,27,29.5,91.3,4.32,6.97,62,0.04,0,0.01,0.04,0.04,2.82,0.13,0,2.65,Matches
2497,Lucas Stassin,be BEL,FW,Saint-Étienne,fr Ligue 1,19,2004,21,16.7,22.5,74,221.6,31.9,10.6,12.8,82.9,4.29,5.43,78.9,0.71,1.1,65.2,0.19,0.16,0.15,0.03,0.86,0.62,0.57,0.05,1.67,Matches
2498,Jason Steele,eng ENG,GK,Brighton,eng Premier League,33,1990,2,50.5,56,90.2,1160.5,778,10.5,10.5,100,31.5,32.5,96.9,8.5,13,65.4,0,0,0,0,0,0,0,0,0,Matches
2499,Orri Steinn Óskarsson,is ISL,FW,Real Sociedad,es La Liga,19,2004,10.5,9.9,18.8,52.8,110.3,17,6.86,10.8,63.7,2.1,3.62,57.9,0,0.57,0,0,0.02,0.05,-0.02,0.48,0.38,0.29,0.1,0.86,Matches
2500,Pascal Stenzel,de GER,DF,Stuttgart,de Bundesliga,28,1996,3.2,56.6,68.1,83,1074.7,280.6,23.1,24.4,94.9,25,28.8,87,7.81,13.1,59.5,0,0.19,0.19,-0.19,1.56,2.81,1.25,0.63,3.75,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
2501,Jack Stephens,eng ENG,DF,Southampton,eng Premier League,30,1994,15.4,57.1,62,92,1004.6,283.5,22.5,24.2,93,30.1,31.9,94.3,3.51,4.22,83.1,0,0.01,0.02,-0.01,0.19,3.31,0.32,0,4.09,Matches
2502,Leonidas Stergiou,ch SUI,DF,Stuttgart,de Bundesliga,22,2002,9.5,46.3,56.2,82.4,730.6,229.2,26.3,28.6,91.9,16.6,20.1,82.7,2.74,5.16,53.1,0.21,0.09,0.07,0.12,0.42,3.16,0.11,0,4.11,Matches
2503,Raheem Sterling,eng ENG,"FW,MF",Arsenal,eng Premier League,29,1994,5.5,28.7,36.5,78.6,367.6,73.3,18.7,21.3,88,7.82,10.4,75.4,0.55,0.73,75,0.36,0.09,0.09,0.27,1.45,0.73,1.64,0.36,3.27,Matches
2504,Enzo Sternal,fr FRA,"FW,MF",Marseille,fr Ligue 1,17,2007,0.3,23.3,26.7,87.5,256.7,3.33,16.7,16.7,100,3.33,3.33,100,0,3.33,0,0,0,0,0,3.33,0,0,0,0,Matches
2505,Finley Stevens,wls WAL,DF,St. Pauli,de Bundesliga,21,2003,0,1,2,50,8,8,1,1,100,0,1,0,0,0,,0,0,0,0,0,0,0,0,0,Matches
2506,Ross Stewart,sct SCO,FW,Southampton,eng Premier League,28,1996,4.3,15.6,22.1,70.5,200.2,20,7.91,10.5,75.6,5.81,7.44,78.1,0,0.23,0,0,0,0.02,0,0,0.47,0.23,0,0.47,Matches
2507,Angelo Stiller,de GER,MF,Stuttgart,de Bundesliga,23,2001,30.5,72.8,83.3,87.4,1220.4,414.7,33.9,36.2,93.7,31.7,35.1,90.2,5.57,9.11,61.2,0.26,0.24,0.28,0.03,1.93,8.89,1.64,0.33,9.48,Matches
2508,Kevin Stöger,at AUT,MF,Gladbach,de Bundesliga,30,1993,17.2,49.2,64.9,75.8,841.8,262.6,25.3,27.9,90.8,16.1,21,76.5,6.28,11.7,53.5,0.17,0.31,0.24,-0.13,3.14,5.23,2.27,0.47,7.03,Matches
2509,Stoichkov,es ESP,"MF,FW",Alavés,es La Liga,30,1993,7.8,16.9,27.4,61.7,277.1,89.4,7.82,10.5,74.4,6.41,9.36,68.5,1.79,4.23,42.4,0.13,0.15,0.09,-0.03,0.9,2.05,1.28,0.13,3.33,Matches
2510,Petar Stojanović,si SVN,MF,Empoli,it Serie A,28,1995,0,1,3,33.3,9,4,1,1,100,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,Matches
2511,Jakub Stolarczyk,pl POL,GK,Leicester City,eng Premier League,23,2000,10,23.8,38.6,61.7,621.5,456,7,7,100,9.1,9.4,96.8,7.6,22,34.5,0,0,0,0,0,0.2,0,0,0.1,Matches
2512,John Stones,eng ENG,"DF,MF",Manchester City,eng Premier League,30,1994,6.1,60.2,66.1,91.1,1046.2,262.5,27.7,29.3,94.4,26.4,28.5,92.5,5.08,6.56,77.5,0,0.02,0.03,-0.02,0.33,6.89,0,0,3.44,Matches
2513,Jørgen Strand Larsen,no NOR,FW,Wolves,eng Premier League,24,2000,28.7,10.3,15.9,64.6,133,24.3,6.34,8.85,71.7,2.54,3.9,65.2,0.49,0.7,70,0.14,0.1,0.03,0.03,0.73,0.66,0.14,0.03,1.01,Matches
2514,Gabriel Strefezza,br BRA,"FW,MF",Como,it Serie A,27,1997,29.1,30.1,39.8,75.6,456.8,117.4,16.7,18.7,89.4,8.9,11.6,76.6,2.44,5.02,48.6,0.14,0.13,0.14,0,1.96,2.3,1,0.31,3.64,Matches
2515,Cristhian Stuani,uy URU,FW,Girona,es La Liga,37,1986,12,8.92,12.8,69.5,120.8,13.4,5.67,7.08,80,2.67,4.17,64,0.25,0.67,37.5,0.17,0.05,0.08,0.12,0.5,0.08,0.25,0,0.83,Matches
2516,Álex Suárez,es ESP,DF,Las Palmas,es La Liga,31,1993,27.3,42.7,49.7,85.9,798.6,290.1,14.9,15.8,94.7,23.8,25.8,92.1,3.33,6.63,50.3,0,0,0.01,0,0.11,1.83,0.11,0,1.94,Matches
2517,Denis Suárez,es ESP,MF,Villarreal,es La Liga,30,1994,6.8,33.5,42.8,78.4,545.6,176.9,18.1,20.7,87.2,11.3,13.2,85.6,2.94,5.74,51.3,0.15,0.22,0.26,-0.07,2.06,3.09,1.18,0.44,5.15,Matches
2518,Gabriel Suazo,cl CHI,DF,Toulouse,fr Ligue 1,26,1997,24,41.4,52,79.6,660.8,271.4,22.3,25.1,88.9,15.5,19.2,81.1,2.38,4.96,47.9,0.25,0.16,0.2,0.09,1.67,3.13,1.58,0.5,4.54,Matches
2519,Luka Sučić,hr CRO,MF,Real Sociedad,es La Liga,21,2002,19.9,36.5,44.3,82.4,581,116.6,19.4,21.6,90.2,13.2,15,87.6,2.76,4.47,61.8,0.05,0.13,0.11,-0.08,1.26,2.61,0.65,0.1,3.97,Matches
2520,Yukinari Sugawara,jp JPN,"DF,MF",Southampton,eng Premier League,24,2000,17.3,41.2,51.5,80,649.8,199.7,21.8,24.7,88.3,16.3,19.6,83.2,2.14,4.39,48.7,0.06,0.13,0.14,-0.07,0.98,2.72,1.21,0.52,4.16,Matches
2521,Niklas Süle,de GER,DF,Dortmund,de Bundesliga,28,1995,11.7,74.4,80.2,92.8,1287.3,458.8,33.4,35,95.6,35.2,37,95.2,5.21,7.01,74.4,0,0.01,0.03,-0.01,0.26,6.32,0,0,4.02,Matches
2522,Ibrahim Sulemana,gh GHA,MF,Atalanta,it Serie A,21,2003,3.1,51.3,58.1,88.3,920,232.9,19,21.3,89.4,27.4,29.4,93.4,4.19,4.84,86.7,0,0,0.03,0,0.32,5.81,0.32,0,3.87,Matches
2523,Kamaldeen Sulemana,gh GHA,"FW,MF",Southampton,eng Premier League,22,2002,15.6,18.3,22.9,79.8,262.9,40.2,11.3,12.9,88.1,5.51,6.6,83.5,0.83,1.79,46.4,0.06,0.06,0.05,0,0.64,0.38,0.83,0.45,1.73,Matches
2524,Crysencio Summerville,nl NED,"FW,MF",West Ham,eng Premier League,22,2001,8.7,22.3,29.2,76.4,331.1,73.6,14.4,17,84.5,6.32,7.13,88.7,1.26,2.53,50,0.11,0.2,0.2,-0.08,1.95,1.49,1.38,0.57,2.07,Matches
2525,Tomáš Suslov,sk SVK,"MF,FW",Hellas Verona,it Serie A,22,2002,23.1,16.8,22.9,73.2,320.6,87.4,7.32,8.57,85.4,6.32,7.84,80.7,2.73,4.81,56.8,0.04,0.08,0.07,-0.04,1.17,1.73,0.95,0.09,3.55,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
2526,Suso,es ESP,"FW,MF",Sevilla,es La Liga,30,1993,6.7,42.5,57.5,74,714.8,234.8,21.8,23.9,91.3,14,18.4,76.4,4.93,10.7,45.8,0.3,0.24,0.19,0.06,3.28,4.63,1.94,0.6,6.42,Matches
2527,Zion Suzuki,jp JPN,GK,Parma,it Serie A,21,2002,36.8,27.4,40.7,67.4,796,598.3,4.62,4.67,98.8,13.9,14.1,98.5,8.72,21.7,40.3,0,0,0,0,0,1.28,0.03,0,0,Matches
2528,Mattias Svanberg,se SWE,MF,Wolfsburg,de Bundesliga,25,1999,13.5,19.2,27.9,68.7,291.2,111.7,10.5,12.5,84,6.67,9.26,72,1.04,3.41,30.4,0.07,0.13,0.12,-0.05,0.96,2.67,0.3,0.07,2.67,Matches
2529,Daniel Svensson,se SWE,"DF,FW",Dortmund,de Bundesliga,22,2002,8.7,45.3,57.1,79.3,729.4,260.5,23.8,26.1,91.2,17.6,20.8,84.5,3.22,6.67,48.3,0.34,0.14,0.15,0.21,1.15,3.33,1.26,0.46,4.71,Matches
2530,Marin Šverko,hr CRO,DF,Venezia,it Serie A,26,1998,12.4,39.9,48.5,82.2,714.3,319.5,16.5,18.2,90.7,19.5,22.7,85.8,3.23,5.73,56.3,0,0.02,0.02,-0.02,0.16,3.15,0.4,0,3.06,Matches
2531,Mile Svilar,rs SRB,GK,Roma,it Serie A,24,1999,38,30.3,38.4,78.9,783.3,445.9,5.16,5.16,100,17,17.1,99.7,8.08,16.1,50.2,0,0,0,0,0,0.39,0,0,0.05,Matches
2532,Michael Svoboda,at AUT,DF,Venezia,it Serie A,25,1998,14.6,48.2,56.8,84.8,868.8,301.6,17.7,19.6,90.6,27.1,30.3,89.4,2.81,5.41,51.9,0,0.04,0.08,-0.04,0.34,3.01,0.14,0,2.95,Matches
2533,Williot Swedberg,se SWE,"FW,MF",Celta Vigo,es La Liga,20,2004,15,17.7,24.2,73.3,249.9,49.1,10.7,13.1,82.1,5,6.67,75,0.93,1.6,58.3,0.33,0.17,0.15,0.16,1.07,1.07,0.8,0.07,1.87,Matches
2534,Abakar Sylla,ci CIV,DF,Strasbourg,fr Ligue 1,21,2002,10.6,55,62.1,88.6,941.5,339.9,21.1,23,91.8,31.3,33.8,92.7,2.08,4.25,48.9,0,0.01,0.01,-0.01,0.09,1.98,0.09,0,1.98,Matches
2535,Issiaga Sylla,gn GUI,DF,Montpellier,fr Ligue 1,30,1994,12.8,34,44,77.3,566.8,234.8,17,19.6,86.9,12.7,16.7,75.7,3.36,5.08,66.2,0,0.05,0.05,-0.05,0.55,3.52,1.25,0.78,4.14,Matches
2536,Mamadou Sylla,sn SEN,"FW,MF",Valladolid,es La Liga,30,1994,17.6,10.1,16,62.8,152,23.9,5.85,7.95,73.6,3.35,5.28,63.4,0.51,0.8,64.3,0.06,0.1,0.03,-0.04,0.8,0.74,0.28,0,1.25,Matches
2537,Wojciech Szczęsny,pl POL,GK,Barcelona,es La Liga,34,1990,15,26.8,30.3,88.5,605.7,381.1,5.4,5.4,100,16.7,16.9,98.8,4.53,7.67,59.1,0,0,0,0,0,0.07,0,0,0,Matches
2538,Sammie Szmodics,ie IRL,"FW,MF",Ipswich Town,eng Premier League,28,1995,11,13.5,18.3,74.1,223.5,65.8,6.55,7.45,87.8,4.91,5.91,83.1,1.36,2.64,51.7,0,0.02,0.05,-0.02,0.45,1,0.36,0.09,1.73,Matches
2539,Dominik Szoboszlai,hu HUN,MF,Liverpool,eng Premier League,23,2000,27.7,40.2,47.7,84.3,632.8,131.4,21.7,24.2,89.6,13.2,15,88,3.43,4.8,71.4,0.22,0.27,0.21,-0.05,2.02,3.18,1.19,0.18,4.73,Matches
2540,Alexander Sørloth,no NOR,FW,Atlético Madrid,es La Liga,28,1995,17.4,13.2,20.6,63.8,167,34.5,8.16,12.2,66.7,3.62,5.46,66.3,0.29,0.4,71.4,0.11,0.09,0.04,0.02,0.75,1.09,0.57,0.06,1.78,Matches
2541,Musa Al-Taamari,jo JOR,"FW,MF",Montpellier,fr Ligue 1,27,1997,12.4,19,24.5,77.3,271.3,53.4,11.3,13.4,84.3,5.08,6.61,76.8,1.29,1.53,84.2,0.08,0.12,0.09,-0.04,0.97,0.97,0.97,0.08,2.42,Matches
2542,Musa Al-Taamari,jo JOR,"FW,MF",Rennes,fr Ligue 1,27,1997,6.3,17.1,21,81.8,229.2,37,9.52,10.5,90.9,5.71,6.98,81.8,0.32,0.48,66.7,0,0.21,0.22,-0.21,1.59,0.79,0.48,0,1.27,Matches
2543,Haris Tabakovic,ba BIH,FW,Hoffenheim,de Bundesliga,30,1994,9.1,14.7,23.4,62.9,183.7,30,9.01,13.7,65.6,4.07,6.37,63.8,0.22,0.22,100,0.11,0.13,0.1,-0.02,0.99,0.88,0.22,0.11,0.77,Matches
2544,Nicolás Tagliafico,ar ARG,DF,Lyon,fr Ligue 1,31,1992,21.1,54.9,63.4,86.6,827.6,257.6,30.5,33.3,91.5,21,23.6,89,2.37,4.12,57.5,0.05,0.04,0.07,0.01,0.24,3.41,0.38,0.14,4.6,Matches
2545,Jonathan Tah,de GER,DF,Leverkusen,de Bundesliga,28,1996,33,65,70,92.9,1168.9,456.4,25.2,26.4,95.3,34.7,36.1,96.1,4.55,6.24,72.8,0,0.01,0.06,-0.01,0.12,6.12,0.18,0.09,5.12,Matches
2546,Adrien Tameze,cm CMR,"MF,DF",Torino,it Serie A,30,1994,7.2,36,41.8,86,571.1,125.6,17.2,20,86.1,15.6,16.8,92.6,1.94,2.64,73.7,0,0.11,0.1,-0.11,0.83,1.39,0.83,0.14,3.19,Matches
2547,Axel Tapé,fr FRA,"DF,MF",Paris S-G,fr Ligue 1,16,2007,2,71,75.5,94,1325.5,309.5,18,18.5,97.3,50.5,52.5,96.2,2,3,66.7,0,0,0,0,0.5,3,0,0,2.5,Matches
2548,Renato Tapia,pe PER,"MF,DF",Leganés,es La Liga,29,1995,26.9,31.2,39.8,78.3,553.7,177.5,14.9,16.8,88.7,12.6,14.8,84.7,3.23,6.02,53.7,0,0.01,0.03,-0.01,0.3,2.97,0.33,0,3.09,Matches
2549,Edmond Tapsoba,bf BFA,DF,Leverkusen,de Bundesliga,25,1999,27.9,61,70.7,86.4,1047.1,368.3,28.6,30.3,94.4,27,30,89.7,4.8,8.78,54.7,0,0.01,0.05,-0.01,0.14,6.99,0.32,0.07,5.88,Matches
2550,Florian Tardieu,fr FRA,MF,Saint-Étienne,fr Ligue 1,32,1992,13.9,62.5,72.9,85.8,1001.4,376.2,32.7,35.3,92.9,23.9,27,88.5,4.32,7.48,57.7,0.29,0.09,0.12,0.19,1.37,9.14,1.73,0,10,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
2551,Mehdi Taremi,ir IRN,FW,Inter,it Serie A,32,1992,9.1,20.3,25.4,80.1,268.4,51.8,11.9,13.2,90,6.7,8.13,82.4,0.22,0.33,66.7,0.22,0.18,0.12,0.04,1.65,1.32,0.55,0,2.75,Matches
2552,Matt Targett,eng ENG,DF,Newcastle Utd,eng Premier League,28,1995,0.2,70,75,93.3,935,245,45,50,90,20,20,100,5,5,100,0,0,0.5,0,0,0,5,5,0,Matches
2553,Oussama Targhalline,ma MAR,MF,Le Havre,fr Ligue 1,22,2002,11,31.6,39.7,79.6,525.6,155.8,15.9,18.1,87.9,11.8,13.8,85.5,2.73,4.55,60,0,0.06,0.11,-0.06,0.55,4.55,1.18,0.18,6,Matches
2554,James Tarkowski,eng ENG,DF,Everton,eng Premier League,31,1992,32.5,32.2,39.7,81,680.6,253.2,10.4,12.3,84.5,16.2,17.6,91.9,5.32,8.49,62.7,0.03,0.09,0.07,-0.06,0.49,2.55,0.34,0,2.31,Matches
2555,César Tárrega,es ESP,DF,Valencia,es La Liga,22,2002,33.6,42.5,50.4,84.4,808.6,280.2,14.2,15.2,93.2,24.3,26.5,91.6,3.78,7.35,51.4,0,0,0.01,0,0.09,2.35,0.03,0,2.35,Matches
2556,Nuno Tavares,pt POR,DF,Lazio,it Serie A,24,2000,18.7,43.9,55.7,78.7,700.4,272.2,24,26.8,89.4,15.5,19.6,79.2,3.26,6.63,49.2,0.43,0.26,0.26,0.17,1.76,3.69,2.35,1.23,5.94,Matches
2557,Marcus Tavernier,eng ENG,"FW,MF",Bournemouth,eng Premier League,25,1999,21.5,32,43.4,73.8,542,161.9,15.5,18,86.3,13,16.4,79.5,2.79,5.91,47.2,0.23,0.19,0.17,0.05,2,3.72,1.86,0.65,5.95,Matches
2558,Charlie Taylor,eng ENG,DF,Southampton,eng Premier League,30,1993,4,49,55.8,87.9,900.5,227.5,17.5,18.8,93.3,25.8,28,92,5,7,71.4,0,0.03,0.05,-0.03,0.25,2.25,0.75,0.25,2.25,Matches
2559,Jack Taylor,ie IRL,MF,Ipswich Town,eng Premier League,26,1998,9.6,36.4,43.9,82.9,644.6,174.3,16.3,18.4,88.1,16.5,18.8,87.8,3.02,5,60.4,0,0.05,0.08,-0.05,0.52,3.13,0.83,0.1,4.48,Matches
2560,Loum Tchaouna,fr FRA,"FW,MF",Lazio,it Serie A,20,2003,7.3,23.6,33.8,69.6,353.7,77.7,14,16.7,83.6,7.26,10.4,69.7,1.51,3.97,37.9,0,0.08,0.1,-0.08,1.37,1.23,1.1,0.14,2.74,Matches
2561,Jackson Tchatchoua,cm CMR,"DF,MF",Hellas Verona,it Serie A,22,2001,35.2,23.8,32,74.3,354.6,113.7,14.1,16.2,87,8.13,10.6,76.7,1.08,3.32,32.5,0.09,0.08,0.09,0.01,0.97,1.11,0.82,0.51,2.05,Matches
2562,Enzo Tchato,cm CMR,DF,Montpellier,fr Ligue 1,21,2002,21.1,35.9,47.9,75,600.7,222.9,16,18.9,84.9,16.2,20.3,79.7,2.7,5.5,49.1,0,0.07,0.06,-0.07,0.66,2.18,0.62,0.57,2.94,Matches
2563,Aurélien Tchouaméni,fr FRA,"DF,MF",Real Madrid,es La Liga,24,2000,29.9,62.5,67.7,92.3,1090.2,357.7,26.3,27.7,95.2,30.9,32.7,94.5,4.48,5.92,75.7,0,0.02,0.03,-0.02,0.17,5.89,0.3,0.03,5.15,Matches
2564,Álvaro Tejero,es ESP,"MF,DF",Espanyol,es La Liga,28,1996,13.8,32.8,45.4,72.4,609.7,223.3,13.8,15.4,89.7,14.1,17,82.6,4.13,9.93,41.6,0.29,0.21,0.26,0.08,2.39,1.88,1.52,0.87,3.33,Matches
2565,Martín Tejón,es ESP,"MF,DF",Valencia,es La Liga,20,2004,0.5,40,52,76.9,656,190,20,24,83.3,16,20,80,2,4,50,0,0,0,0,2,4,0,0,8,Matches
2566,Mathys Tel,fr FRA,FW,Tottenham,eng Premier League,19,2005,10.1,18.3,26.3,69.5,312.5,65.9,8.81,11.1,79.5,7.13,9.7,73.5,1.88,3.27,57.6,0.1,0.25,0.15,-0.15,1.39,1.19,1.39,0.4,2.08,Matches
2567,Mathys Tel,fr FRA,"FW,MF",Bayern Munich,de Bundesliga,19,2005,2.8,38.6,45.7,84.4,614.6,117.5,20.7,23.6,87.9,13.9,15.4,90.7,2.86,5,57.1,0.36,0.11,0.21,0.25,0.36,1.79,1.43,0.36,3.21,Matches
2568,Nathan Tella,ng NGA,"MF,FW",Leverkusen,de Bundesliga,25,1999,15.1,17,22.7,74.6,228.6,39.9,10.7,12.4,86.6,4.9,6.09,80.4,0.53,1.26,42.1,0.26,0.1,0.11,0.17,1.19,0.99,0.66,0.13,1.46,Matches
2569,Nahuel Tenaglia,ar ARG,DF,Alavés,es La Liga,28,1996,32.5,31.3,43.4,72.1,542.8,251.9,14.3,16.7,85.7,14.3,19,75.4,2.28,5.45,41.8,0.03,0.05,0.04,-0.02,0.58,2.62,0.58,0.28,3.17,Matches
2570,Arnau Tenas,es ESP,GK,Paris S-G,fr Ligue 1,23,2001,1,31,32,96.9,757,538,9,9,100,13,13,100,9,10,90,1,0.2,0.1,0.8,2,2,1,0,1,Matches
2571,Casper Tengstedt,dk DEN,FW,Hellas Verona,it Serie A,24,2000,16.9,11.9,17.6,67.4,170.1,31.2,6.45,8.22,78.4,3.73,5.44,68.5,0.83,1.78,46.7,0.06,0.05,0.07,0.01,0.71,0.65,0.47,0.06,1.72,Matches
2572,Marc-André ter Stegen,de GER,GK,Barcelona,es La Liga,32,1992,7.5,31.1,33.5,92.8,779.6,545.5,3.47,3.47,100,20.1,20.4,98.7,7.47,9.6,77.8,0,0,0,0,0,0.13,0.13,0,0.27,Matches
2573,Filippo Terracciano,it ITA,"DF,MF",Milan,it Serie A,21,2003,6,37.7,42.8,87.9,638,137,16.8,18.5,91,18.7,20.5,91.1,1.67,2.67,62.5,0,0.02,0.02,-0.02,0.33,3.5,0.17,0.17,2.33,Matches
2574,Pietro Terracciano,it ITA,GK,Fiorentina,it Serie A,34,1990,3,23.3,29.7,78.7,517.3,319,6,6,100,13.3,13.3,100,3.67,10,36.7,0,0,0,0,0,0,0,0,0,Matches
2575,Ramón Terrats,es ESP,"MF,FW",Villarreal,es La Liga,23,2000,1.5,42.7,52.7,81,771.3,203.3,18.7,19.3,96.6,18,23.3,77.1,4.67,8,58.3,0,0.2,0.27,-0.2,0.67,4.67,1.33,0.67,4.67,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
2576,Ramón Terrats,es ESP,"MF,FW",Getafe,es La Liga,23,2000,13.5,16.9,26.1,64.8,277.8,86.7,8.96,10.7,83.4,5.85,8.52,68.7,1.48,5.11,29,0.07,0.19,0.08,-0.11,1.19,2.15,0.67,0.22,2.67,Matches
2577,Martin Terrier,fr FRA,"MF,FW",Leverkusen,de Bundesliga,27,1997,6.5,25.1,30.6,81.9,329.8,58,16.8,18.5,90.8,6.15,7.54,81.6,0.92,1.38,66.7,0.15,0.14,0.26,0.02,1.23,0.92,0.77,0.15,2.15,Matches
2578,Tanner Tessmann,us USA,MF,Lyon,fr Ligue 1,22,2001,13.7,50,55.9,89.4,854.2,194.5,24.1,26.3,91.7,20.1,21,95.5,4.53,6.5,69.7,0,0.04,0.06,-0.04,0.51,4.67,0.22,0,4.09,Matches
2579,Kenny Tete,nl NED,DF,Fulham,eng Premier League,28,1995,19.7,39.2,48.5,80.8,627.3,204.4,20.6,22.5,91.4,14.5,17.9,80.7,3.1,5.48,56.5,0.1,0.05,0.04,0.06,0.46,3.3,0.66,0.3,3.2,Matches
2580,Teddy Teuma,mt MLT,MF,Reims,fr Ligue 1,30,1993,8.3,59.5,75.2,79.2,958.8,277.3,31.7,34.9,90.7,20.2,24.9,81.2,4.94,9.28,53.2,0,0.13,0.16,-0.13,1.57,4.94,1.08,0.48,5.66,Matches
2581,Jordan Teze,nl NED,DF,Monaco,fr Ligue 1,24,1999,6.3,45.6,57.6,79.1,771.1,295.2,20.8,23.7,87.9,21.9,27,81.2,2.7,4.6,58.6,0,0.24,0.32,-0.24,2.06,4.44,1.43,0.48,4.92,Matches
2582,Florian Thauvin,fr FRA,"FW,MF",Udinese,it Serie A,31,1993,21.7,25.1,37.7,66.4,445.2,154.8,11.1,13.3,83,8.43,12.7,66.3,3.87,7.79,49.7,0.14,0.18,0.22,-0.04,1.8,2.67,1.98,0.92,4.15,Matches
2583,Arthur Theate,be BEL,DF,Eint Frankfurt,de Bundesliga,24,2000,30,51.3,62.1,82.6,933.4,363.9,21,22.6,92.9,24.5,28.2,87,4.97,9.43,52.7,0,0.03,0.06,-0.03,0.43,6.13,0.73,0.17,5.7,Matches
2584,Norman Theuerkauf,de GER,MF,Heidenheim,de Bundesliga,37,1987,0.2,85,100,85,1490,355,40,45,88.9,40,50,80,5,5,100,0,0,0,0,0,10,0,0,10,Matches
2585,Thiago,br BRA,"FW,MF",Brentford,eng Premier League,23,2001,1.9,21.1,29.5,71.4,298.9,38.4,10.5,14.7,71.4,6.84,8.42,81.3,1.58,2.63,60,0,0.05,0,-0.05,1.05,1.05,1.05,0,2.11,Matches
2586,Malick Thiaw,de GER,DF,Milan,it Serie A,22,2001,20.1,58.8,63.1,93.1,1150.1,385.8,16.9,17.8,95.2,35.2,36.7,96.1,5.87,7.31,80.3,0,0,0.01,0,0.2,4.33,0.05,0,4.43,Matches
2587,Denis Thomalla,de GER,MF,Heidenheim,de Bundesliga,31,1992,0,1,1,100,22,0,0,0,,1,1,100,0,0,,0,0,0,0,0,0,0,0,0,Matches
2588,Luke Thomas,eng ENG,DF,Leicester City,eng Premier League,23,2001,12.3,40.1,51.1,78.4,655.7,219.7,19.9,21.7,91.8,16.7,20.4,81.7,2.85,6.67,42.7,0,0.04,0.04,-0.04,0.73,2.6,0.41,0.16,3.01,Matches
2589,Sorba Thomas,wls WAL,"FW,MF",Nantes,fr Ligue 1,24,1999,14.7,24.5,37.4,65.5,429.9,151.6,12.1,14.8,82,8.3,11.8,70.5,3.27,8.64,37.8,0.2,0.25,0.2,-0.05,2.45,1.84,1.63,1.16,2.31,Matches
2590,Adrien Thomasson,fr FRA,MF,Lens,fr Ligue 1,30,1993,29.1,45.3,55.4,81.8,707.7,175.4,23.9,27.1,88.1,16.2,19.3,84.1,3.33,4.88,68.3,0.24,0.21,0.18,0.03,1.92,3.4,1,0.24,5.12,Matches
2591,Morten Thorsby,no NOR,"MF,FW",Genoa,it Serie A,28,1996,21.1,16.7,25.1,66.6,218.1,80.6,10.3,13.6,75.3,4.55,7.06,64.4,0.57,0.85,66.7,0.05,0.1,0.06,-0.05,1.28,2.13,0.47,0.05,2.75,Matches
2592,Khéphren Thuram,fr FRA,MF,Juventus,it Serie A,23,2001,25.8,47.6,53.8,88.4,731.6,182,25.7,27.9,92.2,18.4,20.2,91.2,2.17,3.22,67.5,0.19,0.14,0.07,0.05,0.97,4.81,0.74,0,4.77,Matches
2593,Marcus Thuram,fr FRA,FW,Inter,it Serie A,26,1997,25.4,16.2,22,73.7,207.2,42.6,9.8,12.8,76.6,4.33,5.47,79.1,0.59,0.91,65.2,0.16,0.17,0.16,-0.02,1.54,0.94,1.06,0.16,2.09,Matches
